Netzbetreiber:;;Energienetze Berlin GmbH;;;;
Lastgangtyp:;;Entnahme aus dem vorgelagerten Verteilungsnetz;;;;
gesetzliche Grundlage:;;§ 23c Abs.3 Nr. 5 EnWG;;;;
Betrachtungszeitraum:;;01.01.2024 bis 31.12.2024;;;;
;;;;;;
Spannungsebene der Entnahme;;Hochspannung;Mittelspannung;Niederspannung;;
Höchstlast;[kW];20.240;1.353;153,7;;
Wirkarbeit;[kWh];34.847.835;6.056.038;454.794;;
;;;;;;
Datum;Zeit;Wert [kW];Wert [kW];Wert [kW];;
01.01.2024;00:15:00;0;465;27;;
01.01.2024;00:30:00;0;451;28;;
01.01.2024;00:45:00;0;465;27;;
01.01.2024;01:00:00;0;460;27;;
01.01.2024;01:15:00;0;451;28;;
01.01.2024;01:30:00;0;456;28;;
01.01.2024;01:45:00;0;465;26;;
01.01.2024;02:00:00;0;460;28;;
01.01.2024;02:15:00;0;466;28;;
01.01.2024;02:30:00;0;480;26;;
01.01.2024;02:45:00;0;480;27;;
01.01.2024;03:00:00;0;485;25;;
01.01.2024;03:15:00;0;526;26;;
01.01.2024;03:30:00;0;530;29;;
01.01.2024;03:45:00;0;535;26;;
01.01.2024;04:00:00;0;535;25;;
01.01.2024;04:15:00;0;590;26;;
01.01.2024;04:30:00;0;575;28;;
01.01.2024;04:45:00;0;555;30;;
01.01.2024;05:00:00;0;576;28;;
01.01.2024;05:15:00;0;570;27;;
01.01.2024;05:30:00;0;555;24;;
01.01.2024;05:45:00;44;555;25;;
01.01.2024;06:00:00;0;550;25;;
01.01.2024;06:15:00;88;540;28;;
01.01.2024;06:30:00;220;540;44;;
01.01.2024;06:45:00;198;496;41;;
01.01.2024;07:00:00;220;495;43;;
01.01.2024;07:15:00;176;495;45;;
01.01.2024;07:30:00;286;485;44;;
01.01.2024;07:45:00;352;491;44;;
01.01.2024;08:00:00;308;505;45;;
01.01.2024;08:15:00;264;503;48;;
01.01.2024;08:30:00;154;505;50;;
01.01.2024;08:45:00;132;515;52;;
01.01.2024;09:00:00;0;500;50;;
01.01.2024;09:15:00;44;515;52;;
01.01.2024;09:30:00;22;516;52;;
01.01.2024;09:45:00;0;495;53;;
01.01.2024;10:00:00;0;515;53;;
01.01.2024;10:15:00;44;504;56;;
01.01.2024;10:30:00;22;505;70;;
01.01.2024;10:45:00;198;509;73;;
01.01.2024;11:00:00;220;504;70;;
01.01.2024;11:15:00;264;504;75;;
01.01.2024;11:30:00;176;509;71;;
01.01.2024;11:45:00;264;514;58;;
01.01.2024;12:00:00;264;509;59;;
01.01.2024;12:15:00;242;504;62;;
01.01.2024;12:30:00;220;504;74;;
01.01.2024;12:45:00;286;504;67;;
01.01.2024;13:00:00;154;504;64;;
01.01.2024;13:15:00;330;509;67;;
01.01.2024;13:30:00;242;504;77;;
01.01.2024;13:45:00;176;504;82;;
01.01.2024;14:00:00;176;510;77;;
01.01.2024;14:15:00;286;514;71;;
01.01.2024;14:30:00;176;495;65;;
01.01.2024;14:45:00;286;490;68;;
01.01.2024;15:00:00;242;496;66;;
01.01.2024;15:15:00;242;496;62;;
01.01.2024;15:30:00;308;505;64;;
01.01.2024;15:45:00;308;501;61;;
01.01.2024;16:00:00;264;512;62;;
01.01.2024;16:15:00;462;511;74;;
01.01.2024;16:30:00;528;511;81;;
01.01.2024;16:45:00;528;516;77;;
01.01.2024;17:00:00;242;511;83;;
01.01.2024;17:15:00;308;515;88;;
01.01.2024;17:30:00;352;502;92;;
01.01.2024;17:45:00;220;506;86;;
01.01.2024;18:00:00;264;513;84;;
01.01.2024;18:15:00;110;502;83;;
01.01.2024;18:30:00;132;505;93;;
01.01.2024;18:45:00;110;499;88;;
01.01.2024;19:00:00;220;499;84;;
01.01.2024;19:15:00;154;490;91;;
01.01.2024;19:30:00;44;488;88;;
01.01.2024;19:45:00;22;473;81;;
01.01.2024;20:00:00;22;477;87;;
01.01.2024;20:15:00;0;476;92;;
01.01.2024;20:30:00;0;481;78;;
01.01.2024;20:45:00;0;471;76;;
01.01.2024;21:00:00;0;466;76;;
01.01.2024;21:15:00;0;481;72;;
01.01.2024;21:30:00;0;472;70;;
01.01.2024;21:45:00;0;476;72;;
01.01.2024;22:00:00;0;486;67;;
01.01.2024;22:15:00;0;506;63;;
01.01.2024;22:30:00;0;531;62;;
01.01.2024;22:45:00;0;541;56;;
01.01.2024;23:00:00;0;525;47;;
01.01.2024;23:15:00;0;516;47;;
01.01.2024;23:30:00;0;521;45;;
01.01.2024;23:45:00;0;510;43;;
02.01.2024;00:00:00;0;506;45;;
02.01.2024;00:15:00;0;516;41;;
02.01.2024;00:30:00;0;520;39;;
02.01.2024;00:45:00;0;510;40;;
02.01.2024;01:00:00;0;506;35;;
02.01.2024;01:15:00;0;525;32;;
02.01.2024;01:30:00;0;530;32;;
02.01.2024;01:45:00;0;520;36;;
02.01.2024;02:00:00;0;506;32;;
02.01.2024;02:15:00;0;520;28;;
02.01.2024;02:30:00;0;535;29;;
02.01.2024;02:45:00;0;530;31;;
02.01.2024;03:00:00;0;530;29;;
02.01.2024;03:15:00;0;600;31;;
02.01.2024;03:30:00;0;590;33;;
02.01.2024;03:45:00;0;595;34;;
02.01.2024;04:00:00;0;590;30;;
02.01.2024;04:15:00;0;579;33;;
02.01.2024;04:30:00;0;590;35;;
02.01.2024;04:45:00;0;590;33;;
02.01.2024;05:00:00;0;600;31;;
02.01.2024;05:15:00;0;639;30;;
02.01.2024;05:30:00;0;590;32;;
02.01.2024;05:45:00;0;590;34;;
02.01.2024;06:00:00;0;625;31;;
02.01.2024;06:15:00;0;725;33;;
02.01.2024;06:30:00;0;826;37;;
02.01.2024;06:45:00;0;830;37;;
02.01.2024;07:00:00;0;927;37;;
02.01.2024;07:15:00;0;949;42;;
02.01.2024;07:30:00;0;895;43;;
02.01.2024;07:45:00;0;929;42;;
02.01.2024;08:00:00;0;959;46;;
02.01.2024;08:15:00;0;997;55;;
02.01.2024;08:30:00;0;952;55;;
02.01.2024;08:45:00;0;933;53;;
02.01.2024;09:00:00;0;979;55;;
02.01.2024;09:15:00;0;999;65;;
02.01.2024;09:30:00;0;993;68;;
02.01.2024;09:45:00;0;1028;74;;
02.01.2024;10:00:00;0;1043;85;;
02.01.2024;10:15:00;0;1052;84;;
02.01.2024;10:30:00;0;956;84;;
02.01.2024;10:45:00;0;931;83;;
02.01.2024;11:00:00;0;1073;77;;
02.01.2024;11:15:00;0;1095;79;;
02.01.2024;11:30:00;0;1059;86;;
02.01.2024;11:45:00;0;1067;80;;
02.01.2024;12:00:00;0;1100;74;;
02.01.2024;12:15:00;0;1061;74;;
02.01.2024;12:30:00;0;950;76;;
02.01.2024;12:45:00;0;921;86;;
02.01.2024;13:00:00;0;971;77;;
02.01.2024;13:15:00;0;951;87;;
02.01.2024;13:30:00;0;896;90;;
02.01.2024;13:45:00;0;887;95;;
02.01.2024;14:00:00;0;962;99;;
02.01.2024;14:15:00;0;917;90;;
02.01.2024;14:30:00;0;823;87;;
02.01.2024;14:45:00;0;777;82;;
02.01.2024;15:00:00;0;771;80;;
02.01.2024;15:15:00;0;752;75;;
02.01.2024;15:30:00;0;757;79;;
02.01.2024;15:45:00;0;737;84;;
02.01.2024;16:00:00;0;727;83;;
02.01.2024;16:15:00;0;714;83;;
02.01.2024;16:30:00;0;713;92;;
02.01.2024;16:45:00;0;718;86;;
02.01.2024;17:00:00;0;707;86;;
02.01.2024;17:15:00;0;687;82;;
02.01.2024;17:30:00;0;699;92;;
02.01.2024;17:45:00;0;693;94;;
02.01.2024;18:00:00;0;690;92;;
02.01.2024;18:15:00;0;682;94;;
02.01.2024;18:30:00;0;684;104;;
02.01.2024;18:45:00;0;667;105;;
02.01.2024;19:00:00;0;665;98;;
02.01.2024;19:15:00;0;648;107;;
02.01.2024;19:30:00;0;656;99;;
02.01.2024;19:45:00;0;638;95;;
02.01.2024;20:00:00;0;661;101;;
02.01.2024;20:15:00;0;650;91;;
02.01.2024;20:30:00;0;612;86;;
02.01.2024;20:45:00;0;605;87;;
02.01.2024;21:00:00;0;600;77;;
02.01.2024;21:15:00;0;603;84;;
02.01.2024;21:30:00;0;596;72;;
02.01.2024;21:45:00;0;591;69;;
02.01.2024;22:00:00;0;586;70;;
02.01.2024;22:15:00;0;580;66;;
02.01.2024;22:30:00;0;575;65;;
02.01.2024;22:45:00;0;570;64;;
02.01.2024;23:00:00;0;560;69;;
02.01.2024;23:15:00;0;565;64;;
02.01.2024;23:30:00;0;555;62;;
02.01.2024;23:45:00;0;571;59;;
03.01.2024;00:00:00;0;560;56;;
03.01.2024;00:15:00;0;590;53;;
03.01.2024;00:30:00;374;585;53;;
03.01.2024;00:45:00;484;596;51;;
03.01.2024;01:00:00;352;580;46;;
03.01.2024;01:15:00;352;600;48;;
03.01.2024;01:30:00;506;595;46;;
03.01.2024;01:45:00;462;590;42;;
03.01.2024;02:00:00;396;590;43;;
03.01.2024;02:15:00;484;595;42;;
03.01.2024;02:30:00;484;595;42;;
03.01.2024;02:45:00;462;585;40;;
03.01.2024;03:00:00;462;595;39;;
03.01.2024;03:15:00;330;650;41;;
03.01.2024;03:30:00;374;626;43;;
03.01.2024;03:45:00;572;655;44;;
03.01.2024;04:00:00;440;645;39;;
03.01.2024;04:15:00;682;651;42;;
03.01.2024;04:30:00;682;666;38;;
03.01.2024;04:45:00;968;655;41;;
03.01.2024;05:00:00;1.166;670;40;;
03.01.2024;05:15:00;1298;715;42;;
03.01.2024;05:30:00;1650;670;39;;
03.01.2024;05:45:00;1760;640;41;;
03.01.2024;06:00:00;1804;675;42;;
03.01.2024;06:15:00;2420;831;45;;
03.01.2024;06:30:00;2794;855;48;;
03.01.2024;06:45:00;3146;806;47;;
03.01.2024;07:00:00;3036;837;43;;
03.01.2024;07:15:00;0;899;52;;
03.01.2024;07:30:00;0;939;53;;
03.01.2024;07:45:00;0;898;58;;
03.01.2024;08:00:00;0;899;57;;
03.01.2024;08:15:00;0;978;66;;
03.01.2024;08:30:00;0;973;68;;
03.01.2024;08:45:00;0;960;78;;
03.01.2024;09:00:00;0;954;73;;
03.01.2024;09:15:00;0;1024;79;;
03.01.2024;09:30:00;0;1039;86;;
03.01.2024;09:45:00;0;999;89;;
03.01.2024;10:00:00;0;981;86;;
03.01.2024;10:15:00;0;1002;93;;
03.01.2024;10:30:00;0;996;86;;
03.01.2024;10:45:00;0;936;85;;
03.01.2024;11:00:00;0;1000;73;;
03.01.2024;11:15:00;0;985;81;;
03.01.2024;11:30:00;0;930;73;;
03.01.2024;11:45:00;0;955;75;;
03.01.2024;12:00:00;0;986;73;;
03.01.2024;12:15:00;0;970;68;;
03.01.2024;12:30:00;0;936;68;;
03.01.2024;12:45:00;0;941;81;;
03.01.2024;13:00:00;0;1006;82;;
03.01.2024;13:15:00;0;981;81;;
03.01.2024;13:30:00;0;951;74;;
03.01.2024;13:45:00;0;895;76;;
03.01.2024;14:00:00;0;866;83;;
03.01.2024;14:15:00;0;852;73;;
03.01.2024;14:30:00;0;852;70;;
03.01.2024;14:45:00;0;811;77;;
03.01.2024;15:00:00;0;807;79;;
03.01.2024;15:15:00;0;799;82;;
03.01.2024;15:30:00;0;789;76;;
03.01.2024;15:45:00;0;799;73;;
03.01.2024;16:00:00;0;770;79;;
03.01.2024;16:15:00;0;763;81;;
03.01.2024;16:30:00;0;756;80;;
03.01.2024;16:45:00;0;750;82;;
03.01.2024;17:00:00;0;726;87;;
03.01.2024;17:15:00;0;733;104;;
03.01.2024;17:30:00;0;723;99;;
03.01.2024;17:45:00;0;701;91;;
03.01.2024;18:00:00;0;709;99;;
03.01.2024;18:15:00;0;692;100;;
03.01.2024;18:30:00;0;696;96;;
03.01.2024;18:45:00;0;695;96;;
03.01.2024;19:00:00;0;676;106;;
03.01.2024;19:15:00;0;663;106;;
03.01.2024;19:30:00;0;653;108;;
03.01.2024;19:45:00;0;644;110;;
03.01.2024;20:00:00;0;642;103;;
03.01.2024;20:15:00;0;627;101;;
03.01.2024;20:30:00;0;617;103;;
03.01.2024;20:45:00;0;622;86;;
03.01.2024;21:00:00;0;620;89;;
03.01.2024;21:15:00;0;620;95;;
03.01.2024;21:30:00;0;601;84;;
03.01.2024;21:45:00;0;619;77;;
03.01.2024;22:00:00;0;594;72;;
03.01.2024;22:15:00;0;585;63;;
03.01.2024;22:30:00;0;595;64;;
03.01.2024;22:45:00;0;599;64;;
03.01.2024;23:00:00;0;579;59;;
03.01.2024;23:15:00;0;595;53;;
03.01.2024;23:30:00;0;595;57;;
03.01.2024;23:45:00;0;589;50;;
04.01.2024;00:00:00;0;579;43;;
04.01.2024;00:15:00;462;589;44;;
04.01.2024;00:30:00;396;605;41;;
04.01.2024;00:45:00;484;604;40;;
04.01.2024;01:00:00;440;604;38;;
04.01.2024;01:15:00;484;619;35;;
04.01.2024;01:30:00;550;610;33;;
04.01.2024;01:45:00;506;604;32;;
04.01.2024;02:00:00;440;590;32;;
04.01.2024;02:15:00;484;609;34;;
04.01.2024;02:30:00;440;594;32;;
04.01.2024;02:45:00;418;594;28;;
04.01.2024;03:00:00;440;604;27;;
04.01.2024;03:15:00;506;644;29;;
04.01.2024;03:30:00;484;649;33;;
04.01.2024;03:45:00;550;670;33;;
04.01.2024;04:00:00;572;644;33;;
04.01.2024;04:15:00;792;660;31;;
04.01.2024;04:30:00;726;648;28;;
04.01.2024;04:45:00;968;654;30;;
04.01.2024;05:00:00;814;669;33;;
04.01.2024;05:15:00;0;724;34;;
04.01.2024;05:30:00;0;683;31;;
04.01.2024;05:45:00;0;644;30;;
04.01.2024;06:00:00;0;689;29;;
04.01.2024;06:15:00;0;818;34;;
04.01.2024;06:30:00;0;849;37;;
04.01.2024;06:45:00;0;814;36;;
04.01.2024;07:00:00;0;843;39;;
04.01.2024;07:15:00;0;904;41;;
04.01.2024;07:30:00;0;923;49;;
04.01.2024;07:45:00;0;1008;46;;
04.01.2024;08:00:00;0;938;56;;
04.01.2024;08:15:00;0;965;66;;
04.01.2024;08:30:00;0;1014;66;;
04.01.2024;08:45:00;0;1023;71;;
04.01.2024;09:00:00;0;1044;70;;
04.01.2024;09:15:00;0;995;78;;
04.01.2024;09:30:00;0;964;82;;
04.01.2024;09:45:00;0;1071;86;;
04.01.2024;10:00:00;0;1082;79;;
04.01.2024;10:15:00;0;1045;83;;
04.01.2024;10:30:00;0;1005;82;;
04.01.2024;10:45:00;0;1033;104;;
04.01.2024;11:00:00;0;1004;93;;
04.01.2024;11:15:00;0;1103;86;;
04.01.2024;11:30:00;0;1087;88;;
04.01.2024;11:45:00;0;1050;94;;
04.01.2024;12:00:00;0;1010;88;;
04.01.2024;12:15:00;0;1053;82;;
04.01.2024;12:30:00;0;1007;93;;
04.01.2024;12:45:00;0;1003;103;;
04.01.2024;13:00:00;0;1043;104;;
04.01.2024;13:15:00;0;1022;101;;
04.01.2024;13:30:00;0;993;92;;
04.01.2024;13:45:00;0;954;95;;
04.01.2024;14:00:00;0;934;99;;
04.01.2024;14:15:00;0;983;100;;
04.01.2024;14:30:00;0;878;98;;
04.01.2024;14:45:00;0;833;88;;
04.01.2024;15:00:00;0;833;94;;
04.01.2024;15:15:00;0;823;103;;
04.01.2024;15:30:00;0;818;92;;
04.01.2024;15:45:00;0;809;94;;
04.01.2024;16:00:00;0;798;94;;
04.01.2024;16:15:00;0;764;90;;
04.01.2024;16:30:00;0;770;90;;
04.01.2024;16:45:00;0;750;86;;
04.01.2024;17:00:00;0;754;95;;
04.01.2024;17:15:00;0;734;99;;
04.01.2024;17:30:00;0;724;99;;
04.01.2024;17:45:00;0;711;100;;
04.01.2024;18:00:00;0;716;107;;
04.01.2024;18:15:00;0;723;104;;
04.01.2024;18:30:00;0;695;115;;
04.01.2024;18:45:00;0;685;116;;
04.01.2024;19:00:00;0;671;109;;
04.01.2024;19:15:00;0;669;108;;
04.01.2024;19:30:00;0;641;103;;
04.01.2024;19:45:00;0;642;97;;
04.01.2024;20:00:00;0;640;93;;
04.01.2024;20:15:00;0;628;94;;
04.01.2024;20:30:00;0;629;94;;
04.01.2024;20:45:00;0;627;82;;
04.01.2024;21:00:00;0;622;82;;
04.01.2024;21:15:00;0;617;80;;
04.01.2024;21:30:00;0;607;72;;
04.01.2024;21:45:00;0;617;70;;
04.01.2024;22:00:00;0;617;70;;
04.01.2024;22:15:00;0;581;77;;
04.01.2024;22:30:00;0;571;75;;
04.01.2024;22:45:00;0;577;62;;
04.01.2024;23:00:00;0;567;64;;
04.01.2024;23:15:00;0;576;62;;
04.01.2024;23:30:00;0;586;55;;
04.01.2024;23:45:00;0;567;55;;
05.01.2024;00:00:00;0;577;44;;
05.01.2024;00:15:00;0;606;45;;
05.01.2024;00:30:00;0;581;48;;
05.01.2024;00:45:00;0;607;38;;
05.01.2024;01:00:00;0;586;37;;
05.01.2024;01:15:00;0;601;38;;
05.01.2024;01:30:00;0;617;36;;
05.01.2024;01:45:00;0;587;38;;
05.01.2024;02:00:00;0;601;35;;
05.01.2024;02:15:00;0;602;31;;
05.01.2024;02:30:00;0;606;32;;
05.01.2024;02:45:00;0;611;30;;
05.01.2024;03:00:00;0;601;32;;
05.01.2024;03:15:00;0;662;40;;
05.01.2024;03:30:00;0;671;36;;
05.01.2024;03:45:00;0;681;32;;
05.01.2024;04:00:00;0;671;34;;
05.01.2024;04:15:00;0;667;35;;
05.01.2024;04:30:00;0;671;36;;
05.01.2024;04:45:00;0;671;35;;
05.01.2024;05:00:00;0;686;32;;
05.01.2024;05:15:00;0;732;33;;
05.01.2024;05:30:00;0;707;33;;
05.01.2024;05:45:00;0;647;35;;
05.01.2024;06:00:00;0;717;33;;
05.01.2024;06:15:00;0;762;34;;
05.01.2024;06:30:00;0;817;38;;
05.01.2024;06:45:00;0;817;38;;
05.01.2024;07:00:00;0;823;42;;
05.01.2024;07:15:00;0;886;45;;
05.01.2024;07:30:00;0;912;51;;
05.01.2024;07:45:00;0;887;57;;
05.01.2024;08:00:00;0;922;60;;
05.01.2024;08:15:00;0;958;65;;
05.01.2024;08:30:00;0;998;62;;
05.01.2024;08:45:00;0;975;75;;
05.01.2024;09:00:00;0;974;72;;
05.01.2024;09:15:00;0;1034;70;;
05.01.2024;09:30:00;0;1024;72;;
05.01.2024;09:45:00;0;963;83;;
05.01.2024;10:00:00;0;973;62;;
05.01.2024;10:15:00;0;997;80;;
05.01.2024;10:30:00;0;952;81;;
05.01.2024;10:45:00;0;931;85;;
05.01.2024;11:00:00;0;912;86;;
05.01.2024;11:15:00;0;987;91;;
05.01.2024;11:30:00;0;992;92;;
05.01.2024;11:45:00;0;997;89;;
05.01.2024;12:00:00;0;1022;92;;
05.01.2024;12:15:00;0;1007;92;;
05.01.2024;12:30:00;0;963;98;;
05.01.2024;12:45:00;0;949;95;;
05.01.2024;13:00:00;0;1000;99;;
05.01.2024;13:15:00;0;985;99;;
05.01.2024;13:30:00;0;929;97;;
05.01.2024;13:45:00;0;889;93;;
05.01.2024;14:00:00;0;920;101;;
05.01.2024;14:15:00;0;941;90;;
05.01.2024;14:30:00;0;864;86;;
05.01.2024;14:45:00;0;803;88;;
05.01.2024;15:00:00;0;778;91;;
05.01.2024;15:15:00;0;768;93;;
05.01.2024;15:30:00;0;759;93;;
05.01.2024;15:45:00;0;754;90;;
05.01.2024;16:00:00;0;743;86;;
05.01.2024;16:15:00;0;729;98;;
05.01.2024;16:30:00;0;734;97;;
05.01.2024;16:45:00;0;721;93;;
05.01.2024;17:00:00;0;715;87;;
05.01.2024;17:15:00;0;709;102;;
05.01.2024;17:30:00;0;700;107;;
05.01.2024;17:45:00;0;690;102;;
05.01.2024;18:00:00;0;694;97;;
05.01.2024;18:15:00;0;681;103;;
05.01.2024;18:30:00;0;676;114;;
05.01.2024;18:45:00;0;693;119;;
05.01.2024;19:00:00;0;676;118;;
05.01.2024;19:15:00;0;668;113;;
05.01.2024;19:30:00;0;637;111;;
05.01.2024;19:45:00;0;645;115;;
05.01.2024;20:00:00;0;635;106;;
05.01.2024;20:15:00;0;632;103;;
05.01.2024;20:30:00;0;629;97;;
05.01.2024;20:45:00;0;604;99;;
05.01.2024;21:00:00;0;599;88;;
05.01.2024;21:15:00;0;594;84;;
05.01.2024;21:30:00;0;587;74;;
05.01.2024;21:45:00;0;563;79;;
05.01.2024;22:00:00;0;552;76;;
05.01.2024;22:15:00;0;516;77;;
05.01.2024;22:30:00;0;516;73;;
05.01.2024;22:45:00;0;502;75;;
05.01.2024;23:00:00;0;516;85;;
05.01.2024;23:15:00;0;517;75;;
05.01.2024;23:30:00;0;506;57;;
05.01.2024;23:45:00;0;502;59;;
06.01.2024;00:00:00;0;516;53;;
06.01.2024;00:15:00;0;516;52;;
06.01.2024;00:30:00;0;537;55;;
06.01.2024;00:45:00;0;522;44;;
06.01.2024;01:00:00;0;541;43;;
06.01.2024;01:15:00;0;531;42;;
06.01.2024;01:30:00;0;517;42;;
06.01.2024;01:45:00;0;516;39;;
06.01.2024;02:00:00;0;516;41;;
06.01.2024;02:15:00;0;516;36;;
06.01.2024;02:30:00;0;517;33;;
06.01.2024;02:45:00;0;506;33;;
06.01.2024;03:00:00;0;506;33;;
06.01.2024;03:15:00;0;567;36;;
06.01.2024;03:30:00;0;556;33;;
06.01.2024;03:45:00;0;566;34;;
06.01.2024;04:00:00;0;557;33;;
06.01.2024;04:15:00;0;566;36;;
06.01.2024;04:30:00;0;566;35;;
06.01.2024;04:45:00;0;556;36;;
06.01.2024;05:00:00;0;556;36;;
06.01.2024;05:15:00;0;566;35;;
06.01.2024;05:30:00;0;536;35;;
06.01.2024;05:45:00;0;512;30;;
06.01.2024;06:00:00;0;511;32;;
06.01.2024;06:15:00;0;521;36;;
06.01.2024;06:30:00;0;562;36;;
06.01.2024;06:45:00;0;506;38;;
06.01.2024;07:00:00;0;516;36;;
06.01.2024;07:15:00;0;501;39;;
06.01.2024;07:30:00;0;551;39;;
06.01.2024;07:45:00;0;532;37;;
06.01.2024;08:00:00;0;511;41;;
06.01.2024;08:15:00;0;512;52;;
06.01.2024;08:30:00;0;545;49;;
06.01.2024;08:45:00;0;566;57;;
06.01.2024;09:00:00;0;533;57;;
06.01.2024;09:15:00;0;519;64;;
06.01.2024;09:30:00;0;527;73;;
06.01.2024;09:45:00;0;568;76;;
06.01.2024;10:00:00;0;562;69;;
06.01.2024;10:15:00;0;526;67;;
06.01.2024;10:30:00;0;520;79;;
06.01.2024;10:45:00;0;531;86;;
06.01.2024;11:00:00;0;571;83;;
06.01.2024;11:15:00;0;540;87;;
06.01.2024;11:30:00;0;526;88;;
06.01.2024;11:45:00;0;536;84;;
06.01.2024;12:00:00;0;547;85;;
06.01.2024;12:15:00;0;582;88;;
06.01.2024;12:30:00;0;526;80;;
06.01.2024;12:45:00;0;517;85;;
06.01.2024;13:00:00;0;528;81;;
06.01.2024;13:15:00;0;567;91;;
06.01.2024;13:30:00;0;562;90;;
06.01.2024;13:45:00;0;537;84;;
06.01.2024;14:00:00;0;536;94;;
06.01.2024;14:15:00;0;532;93;;
06.01.2024;14:30:00;0;542;85;;
06.01.2024;14:45:00;0;531;82;;
06.01.2024;15:00:00;0;548;84;;
06.01.2024;15:15:00;0;538;88;;
06.01.2024;15:30:00;0;526;91;;
06.01.2024;15:45:00;0;522;70;;
06.01.2024;16:00:00;0;545;81;;
06.01.2024;16:15:00;0;538;85;;
06.01.2024;16:30:00;0;539;88;;
06.01.2024;16:45:00;0;528;96;;
06.01.2024;17:00:00;0;553;91;;
06.01.2024;17:15:00;0;528;99;;
06.01.2024;17:30:00;0;535;100;;
06.01.2024;17:45:00;0;537;101;;
06.01.2024;18:00:00;0;554;105;;
06.01.2024;18:15:00;0;538;118;;
06.01.2024;18:30:00;0;539;110;;
06.01.2024;18:45:00;0;521;105;;
06.01.2024;19:00:00;0;522;104;;
06.01.2024;19:15:00;0;500;102;;
06.01.2024;19:30:00;0;529;111;;
06.01.2024;19:45:00;0;519;100;;
06.01.2024;20:00:00;0;515;106;;
06.01.2024;20:15:00;0;509;107;;
06.01.2024;20:30:00;0;503;98;;
06.01.2024;20:45:00;0;516;93;;
06.01.2024;21:00:00;0;502;77;;
06.01.2024;21:15:00;0;517;76;;
06.01.2024;21:30:00;0;511;77;;
06.01.2024;21:45:00;0;505;68;;
06.01.2024;22:00:00;0;511;69;;
06.01.2024;22:15:00;0;521;71;;
06.01.2024;22:30:00;0;500;63;;
06.01.2024;22:45:00;0;516;61;;
06.01.2024;23:00:00;0;511;60;;
06.01.2024;23:15:00;0;511;60;;
06.01.2024;23:30:00;0;505;59;;
06.01.2024;23:45:00;0;500;56;;
07.01.2024;00:00:00;0;501;57;;
07.01.2024;00:15:00;0;501;51;;
07.01.2024;00:30:00;0;510;51;;
07.01.2024;00:45:00;0;506;48;;
07.01.2024;01:00:00;0;495;45;;
07.01.2024;01:15:00;0;505;42;;
07.01.2024;01:30:00;0;510;43;;
07.01.2024;01:45:00;0;505;41;;
07.01.2024;02:00:00;0;500;38;;
07.01.2024;02:15:00;0;500;37;;
07.01.2024;02:30:00;0;500;40;;
07.01.2024;02:45:00;0;515;38;;
07.01.2024;03:00:00;0;490;33;;
07.01.2024;03:15:00;0;550;35;;
07.01.2024;03:30:00;0;555;32;;
07.01.2024;03:45:00;0;570;34;;
07.01.2024;04:00:00;0;555;34;;
07.01.2024;04:15:00;0;560;37;;
07.01.2024;04:30:00;0;549;37;;
07.01.2024;04:45:00;0;574;37;;
07.01.2024;05:00:00;0;560;38;;
07.01.2024;05:15:00;0;564;37;;
07.01.2024;05:30:00;0;539;33;;
07.01.2024;05:45:00;0;520;32;;
07.01.2024;06:00:00;0;500;35;;
07.01.2024;06:15:00;0;544;38;;
07.01.2024;06:30:00;0;540;35;;
07.01.2024;06:45:00;0;515;36;;
07.01.2024;07:00:00;0;510;33;;
07.01.2024;07:15:00;0;545;35;;
07.01.2024;07:30:00;0;540;40;;
07.01.2024;07:45:00;0;500;38;;
07.01.2024;08:00:00;0;510;37;;
07.01.2024;08:15:00;0;557;47;;
07.01.2024;08:30:00;0;564;51;;
07.01.2024;08:45:00;0;519;52;;
07.01.2024;09:00:00;0;524;60;;
07.01.2024;09:15:00;0;534;68;;
07.01.2024;09:30:00;0;580;70;;
07.01.2024;09:45:00;0;521;79;;
07.01.2024;10:00:00;0;530;86;;
07.01.2024;10:15:00;0;535;93;;
07.01.2024;10:30:00;0;572;86;;
07.01.2024;10:45:00;0;531;87;;
07.01.2024;11:00:00;0;517;94;;
07.01.2024;11:15:00;0;530;89;;
07.01.2024;11:30:00;0;576;92;;
07.01.2024;11:45:00;0;542;92;;
07.01.2024;12:00:00;0;517;97;;
07.01.2024;12:15:00;0;541;108;;
07.01.2024;12:30:00;0;588;100;;
07.01.2024;12:45:00;0;540;100;;
07.01.2024;13:00:00;0;527;96;;
07.01.2024;13:15:00;0;536;95;;
07.01.2024;13:30:00;0;590;109;;
07.01.2024;13:45:00;0;526;108;;
07.01.2024;14:00:00;0;528;94;;
07.01.2024;14:15:00;0;530;96;;
07.01.2024;14:30:00;0;551;98;;
07.01.2024;14:45:00;0;534;95;;
07.01.2024;15:00:00;0;542;88;;
07.01.2024;15:15:00;0;540;86;;
07.01.2024;15:30:00;0;543;102;;
07.01.2024;15:45:00;0;549;94;;
07.01.2024;16:00:00;0;547;91;;
07.01.2024;16:15:00;0;559;91;;
07.01.2024;16:30:00;0;553;88;;
07.01.2024;16:45:00;0;528;99;;
07.01.2024;17:00:00;0;560;109;;
07.01.2024;17:15:00;0;540;111;;
07.01.2024;17:30:00;0;540;122;;
07.01.2024;17:45:00;0;554;125;;
07.01.2024;18:00:00;0;569;122;;
07.01.2024;18:15:00;0;585;125;;
07.01.2024;18:30:00;0;551;118;;
